partner_id,industry,Unnamed: 2,region,revenue,deals,engagement_frequency,growth_potential,last_active,avg_deal_value,engagement_score,partner_tier
Partner_001,Technology,0,South America,293278.87,23,1,0.21,2025-10-29,15059.41,86,Gold
Partner_002,Healthcare,1,EMEA,225142.84,9,11,0.35,2025-12-06,25171.92,136,Silver
Partner_003,Technology,2,EMEA,962232.3,27,5,0.19,2025-09-24,7838.36,104,Gold
Partner_004,Healthcare,3,North America,739209.1,45,9,0.21,2025-11-17,3393.31,126,Gold
Partner_005,Manufacturing,4,South America,601273.89,12,6,0.26,2026-02-03,42780.29,140,Gold
Partner_006,Finance,5,Asia Pacific,994594.26,7,1,0.11,2026-01-05,23423.34,99,Gold
Partner_007,Manufacturing,6,North America,480230.2,24,7,0.09,2025-12-25,23768.36,29,Platinum
Partner_008,Finance,7,Asia Pacific,735951.42,73,7,0.45,2025-10-27,34344.4,98,Silver
Partner_009,Finance,8,North America,816704.39,21,7,0.12,2025-09-20,17108.52,69,Silver
Partner_010,Manufacturing,9,South America,620060.63,6,11,0.26,2025-11-24,28698.26,48,Silver
Partner_011,Finance,10,North America,867837.69,7,11,0.2,2025-10-26,7408.49,113,Gold
Partner_012,Manufacturing,11,EMEA,255957.65,78,8,0.42,2025-11-25,24160.29,41,Silver
Partner_013,Healthcare,12,EMEA,388245.6,70,1,0.37,2026-01-31,17521.44,108,Gold
Partner_014,Technology,13,EMEA,134909.25,29,11,0.08,2025-09-02,35928.39,22,Silver
Partner_015,Retail,14,South America,952037.15,22,11,0.06,2026-01-05,7126.6,106,Gold
Partner_016,Manufacturing,15,Asia Pacific,235670.97,26,11,0.15,2025-09-06,11511.11,83,Gold
Partner_017,Technology,16,EMEA,303544.52,49,2,0.31,2026-02-02,35041.31,135,Silver
Partner_018,Technology,17,North America,900784.81,41,6,0.31,2025-10-13,16063.52,145,Silver
Partner_019,Technology,18,Asia Pacific,999249.96,43,3,0.36,2025-09-13,28353.62,41,Silver
Partner_020,Retail,19,South America,115909.36,37,11,0.38,2026-01-27,27650.91,119,Gold
Partner_021,Finance,20,North America,101087.96,10,4,0.33,2025-09-08,47748.4,72,Silver
Partner_022,Manufacturing,21,South America,179584.55,24,2,0.06,2025-12-03,6452.57,25,Silver
Partner_023,Healthcare,22,South America,427753.26,38,7,0.12,2025-12-02,47923.98,62,Silver
Partner_024,Technology,23,Asia Pacific,701699.55,46,11,0.18,2025-11-27,13361.71,102,Platinum
Partner_025,Retail,24,North America,473191.33,26,3,0.37,2025-10-30,6425.25,42,Gold
Partner_026,Finance,25,South America,392575.32,25,10,0.34,2025-12-15,5640.03,54,Gold
Partner_027,Technology,26,Asia Pacific,953610.62,59,11,0.41,2025-11-08,30736.72,68,Silver
Partner_028,Manufacturing,27,South America,424547.4,67,7,0.11,2026-01-23,15506.88,137,Silver
Partner_029,Healthcare,28,North America,575507.54,9,9,0.28,2025-11-15,31501.75,116,Silver
Partner_030,Healthcare,29,EMEA,404582.19,57,1,0.24,2025-11-27,43081.18,124,Silver
Partner_031,Manufacturing,30,South America,857786.4,60,6,0.33,2025-11-06,4265.75,24,Silver
Partner_032,Finance,31,Asia Pacific,436245.77,16,5,0.27,2025-12-01,31048.35,56,Gold
Partner_033,Technology,32,EMEA,910645.99,51,3,0.39,2025-12-25,46196.7,131,Gold
Partner_034,Technology,33,EMEA,630385.93,44,5,0.07,2025-11-27,35862.69,144,Gold
Partner_035,Finance,34,EMEA,616855.35,39,8,0.09,2025-10-26,23485.55,136,Gold
Partner_036,Retail,35,South America,655497.16,59,10,0.11,2025-09-14,36617.33,126,Platinum
Partner_037,Finance,36,North America,887613.47,54,3,0.39,2026-01-03,39152.25,118,Silver
Partner_038,Manufacturing,37,North America,121795.11,16,1,0.18,2025-10-18,47541.71,137,Gold
Partner_039,Healthcare,38,EMEA,735911.43,67,10,0.16,2025-10-02,7069.92,101,Gold
Partner_040,Finance,39,South America,247248.54,16,6,0.19,2025-10-08,17067.97,120,Silver
Partner_041,Retail,40,EMEA,594332.0,30,7,0.38,2026-01-29,47076.08,66,Silver
Partner_042,Finance,41,Asia Pacific,733297.48,37,2,0.11,2026-01-29,36470.7,141,Gold
Partner_043,Manufacturing,42,EMEA,743363.78,45,3,0.44,2025-10-03,47566.79,127,Silver
